support,pertinence,implications,type,robustesse
0.05555555555555555,0,	latest stable release:7.0 ->! database:xml,mutex,
0.05555555555555555,0,	latest stable release:7.0 ->! database:sqlite,mutex,
0.05555555555555555,0,	latest stable release:7.0 ->! database:oracle,mutex,
0.05555555555555555,0,	latest stable release:7.0 ->! database:mysql,mutex,
0.05555555555555555,0,	latest stable release:7.0 ->! database:ms sql,mutex,
0.05555555555555555,0,	latest stable release:7.0 ->! database:*,mutex,
0.05555555555555555,0,	latest stable release:6.1 ->! stable release date:[2013-2015],mutex,
0.05555555555555555,0,	latest stable release:6.1 ->! stable release date:[2008-2010],mutex,
0.05555555555555555,0,	latest stable release:6.1 ->! development status:*,mutex,
0.05555555555555555,0,	latest stable release:6.1 ->! database:xml,mutex,
0.05555555555555555,0,	latest stable release:6.1 ->! database:postgresql,mutex,
0.05555555555555555,0,	latest stable release:6.1 ->! database:mysql,mutex,
0.05555555555555555,0,	latest stable release:6.1 ->! database:ms sql,mutex,
0.05555555555555555,0,	latest stable release:5.0.2 ->! stable release date:[2008-2014],mutex,
0.05555555555555555,0,	latest stable release:5.0.2 ->! development status:*,mutex,
0.05555555555555555,0,	latest stable release:5.0.2 ->! database:postgresql,mutex,
0.05555555555555555,0,	latest stable release:5.0.2 ->! database:mysql,mutex,
0.05555555555555555,0,	latest stable release:5.0.2 ->! database:ms sql,mutex,
0.05555555555555555,0,	latest stable release:5.0.2 ->! database:*,mutex,
0.05555555555555555,0,	latest stable release:5.0.0 ->! stable release date:[2010-2015],mutex,
0.05555555555555555,0,	latest stable release:5.0.0 ->! stable release date:2008,mutex,
0.05555555555555555,0,	latest stable release:5.0.0 ->! development status:*,mutex,
0.05555555555555555,0,	latest stable release:5.0.0 ->! database:xml,mutex,
0.05555555555555555,0,	latest stable release:5.0.0 ->! database:sqlite,mutex,
0.05555555555555555,0,	latest stable release:5.0.0 ->! database:oracle,mutex,
0.05555555555555555,0,	latest stable release:5.0.0 ->! database:mysql,mutex,
0.05555555555555555,0,	latest stable release:5.0.0 ->! database:ms sql,mutex,
0.05555555555555555,0,	latest stable release:5.0.0 ->! database:*,mutex,
